	voice Midi Diff								present		 Best		Sec

printNotes: i= 143-<1461 1958 -497>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 144-<1646 1958 -312>,  	 C3 --    1/4th(131) <      > 	V124 - M131	= -7  %-6  	q= -7  %-6  	 0.714(79)<-- same note
printNotes: i= 145-<1755 1743  12>,  	Bb2 -- 1/16th..( 57) <      > 	V 60 - M 65	= -5  %-8  	q= +3  %+5  	 0.342(79)<-----%8   %5

printNotes: i= 146-<1476 1958 -482>,  	 C3 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 147-<1709 2179 -470>,  	 D3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 148-<2155 2179 -24>,  	 D3 --   1/16th( 33) <      > 	V 31 - M 44	=-13  %-42  	q= -2  %-6  	 0.174(79)<-- same note<-----%42   %6

printNotes: i= 149-<1969 1958  11>,  	 C3 --   1/16th( 33) <      > 	V 35 - M 44	= -9  %-26  	q= +2  %+6  	 0.197(79)<-----%26   %6

printNotes: i= 150-<2169 2179 -10>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 44	=-27  %-159  	q= +1  %+6  	 0.093(79)<-----%159   %6

printNotes: i= 151-<1992 1958  34>,  	 C3 --   128th.(  6) <      > 	V  6 - M 33	=-27  %-450  	q=  +  %+0  	 0.029(79)<-----%450   %0 <<

printNotes: i= 152-<2003 1958  45>,  	 C3 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(79)<-- same note<-----%167   %0 <<

printNotes: i= 153-<2214 2179  35>,  	 D3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 154-<1992 1958  34>,  	 C3 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(79)<-----%43   %9

printNotes: i= 155-<1776 1743  33>,  	Bb2 --    128th(  4) <      > 	V  4 - M 33	=-29  %-725  	q=  +  %+0  	 0.017(79)<-----%725   %0 <<

printNotes: i= 156-<1777 1743  34>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(79)<-- same note<-----%60   %20 <<

printNotes: i= 157-<1926 1958 -32>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(79)<-----%33   %0 <<

printNotes: i= 158-<1753 1743  10>,  	Bb2 -- 1/16th..( 57) <      > 	V 57 - M 33	=+24  %+42  	q=  +  %+0  	 0.325(79)<-----%42   %0

printNotes: i= 159-<1628 1602  26>,  	Ak2 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(79)<-----%136   %0 <<

printNotes: i= 160-<1759 1743  16>,  	Bb2 --     half(261) <1*sela> 	V286 - M261	=+25  %+9  	q=+25  %+9  	 1.654(79)
printNotes: i= 161-<1773 1602 171>,  	Ak2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)


silence
