	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<2420 2402  18>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(81)<-----%24   %14

printNotes: i= 143-<2585 2480 105>,  	Bb2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 144-<2412 2402  10>,  	 A2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 145-<2464 2480 -16>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 146-<2413 2402  11>,  	 A2 --    1/8th( 64) <      > 	V 64 - M 48	=+16  %+25  	q=  +  %+0  	 0.366(81)<-----%25   %0

printNotes: i= 147-<2463 2480 -17>,  	Bb2 --    1/8th( 64) <      > 	V 61 - M 64	= -3  %-5  	q= -3  %-5  	 0.348(81)
printNotes: i= 148-<2676 2680  -4>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 149-<2451 2480 -29>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 150-<2672 2680  -8>,  	 C3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 151-<2402 2380  22>,  	Ak2 --   1/8th.( 96) <-1*sela> 	V 80 - M 96	=-16  %-20  	q=-16  %-20  	 0.459(81)
printNotes: i= 152-<2226 2217   9>,  	 G2 --  1/16th.( 48) <      > 	V 42 - M 48	= -6  %-14  	q= -6  %-14  	 0.238(81)
printNotes: i= 153-<2389 2380   9>,  	Ak2 --    1/4th(128) <      > 	V128 - M128	=  +  %+0  	q=  +  %+0  	 0.737(81)
printNotes: i= 154-<2251 2217  34>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 64	=-21  %-49  	q= -5  %-12  	 0.244(81)<-----%49   %12



silence
printNotes: i= 155-<   0   40 -40>,  	Slc --    1/4th(128) <      > 	V123 - M128	= -5  %-4  	q= -5  %-4  	 0.708(81)
printNotes: i= 156-<1668 1939 -271>,  	 E2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 157-<2356 2380 -24>,  	Ak2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 158-<2221 2217   4>,  	 G2 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(81)<-----%26   %16

printNotes: i= 159-<2382 2380   2>,  	Ak2 -- 1/16th..( 56) <      > 	V 54 - M 64	=-10  %-19  	q= -2  %-4  	 0.308(81)<-----%19   %4

printNotes: i= 160-<2082 2217 -135>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 161-<1923 2039 -116>,  	 F2 --    1/4th(128) <      > 	V130 - M192	=-62  %-48  	q= +2  %+2  	 0.749(81)<-----%48   %2

printNotes: i= 162-<2208 2217  -9>,  	 G2 --  1/16th.( 48) <      > 	V 50 - M 64	=-14  %-28  	q= +2  %+4  	 0.284(81)<-----%28   %4

